Réf. Waytex;Description;CodeBarre;Prix Public H.T;Tarif Rev1;REM;Tarif Rev2;Sorecop;Deee
11650;Cordon USB 3.1 type C / USB 3.0 A mâle-mâle 1.00m;3700616815759;8,00 €;2,80 €;10;2,52 €;;0,02 €
11651;Cordon USB 3.1 type C / USB 3.0 A mâle-mâle 2.00m;3700616816787;10,00 €;3,30 €;10;2,97 €;;0,02 €
11652;Cordon USB 3.1 type C / USB 3.0 A mâle-mâle 1.00m blister Waytex;3700616817418;9,60 €;4,80 €;10;4,32 €;;0,02 €
11654;Cordon USB 3.1 type C / USB 2.0 A mâle-mâle 1.00m blanc pour charge;3700616817319;10,00 €;1,90 €;10;1,71 €;;0,02 €
11655;Adaptateur USB 3.1 Type C mâle / USB 3.0 femelle;3700616815773;6,00 €;1,50 €;10;1,35 €;;0,02 €
11656;Adaptateur USB 3.1 Type C mâle / HDMI femelle 0.15m;3700616817432;30,00 €;14,00 €;10;12,60 €;;0,02 €
11657;Adaptateur USB 3.1 Type C mâle à HDMI / VGA / DVI / USB 3.0 femelle 0.15m;3700616817234;58,00 €;29,00 €;10;26,10 €;;0,02 €
11658;Adaptateur USB 3.1 Type C male à RJ45 Gigabit 10/100/1000Mbps + 3 USB;3700616817289;28,00 €;14,00 €;10;12,60 €;;0,02 €
11659;Adaptateur USB 3.0 Male à USB 3.1 Type C avec OTG;3700616817296;5,60 €;2,80 €;10;2,52 €;;0,02 €
11660;Cordon USB 3.1 type C / USB2.0 A mâle-mâle 1.00m noir pour charge;3700616817326;10,00 €;1,90 €;10;1,71 €;;0,02 €
11661;Cordon USB 3.1 type C / USB 3.0 A mâle-mâle 3.00m;3700616818767;10,00 €;3,90 €;10;3,51 €;;0,02 €
12001;Rallonge amplifiée USB 2.0 A/A M/F 5.00m cascadable;6934808801436;15,00 €;10,00 €;10;9,00 €;;0,02 €
12005;Cordon amplifié USB 2.0 A/B 10.00m;6934808803270;20,05 €;12,00 €;10;10,80 €;;0,02 €
12010;Extendeur 60.00m USB 2.0 via RJ45 Cat. 5e;6934808801191;24,90 €;12,00 €;10;10,80 €;;0,02 €
12311;Mini Hub USB 2.0 auto alimenté avec mini câble 4 ports;3700616800038;4,90 €;3,00 €;10;2,70 €;;0,08 €
12316;Hub USB 2.0 auto alimenté compact 4 ports articulés;3700616800663;8,03 €;3,50 €;10;3,15 €;;0,08 €
12342;Hub USB 2.0 alimentation externe pose horizontale ou verticale 7 ports;3700616800687;14,97 €;6,00 €;10;5,40 €;;0,08 €
12361;Hub USB 2.0 auto alimenté compact 3 ports articulés + lecteur multi cartes flash;3700616800694;11,00 €;7,00 €;10;6,30 €;;0,08 €
12370;Mini lecteur USB 2.0 de cartes microSD et T FLASH avec attache porte clé - noir;3700616800700;2,09 €;1,30 €;10;1,17 €;;0,08 €
12371;Mini lecteur USB 2.0 de cartes microSD et T FLASH avec attache porte clé - rouge;3700616800717;2,09 €;1,30 €;10;1,17 €;;0,08 €
12381;Lecteur de cartes mémoire USB 2.0 compact 48 en 1 noir;3700616800731;4,17 €;2,80 €;10;2,52 €;;0,08 €
12384;Lecteur de cartes mémoire USB 2.0 SD/SDHC/MINI SD/T Flash/M2/MMC... Blister;3700616800755;7,44 €;3,50 €;10;3,15 €;;0,08 €
12384V;Lecteur de cartes mémoires USB 2.0 SD/SDHC/MINI SD/T FLASH/M2/MMC/XD noir;3700616813571;7,44 €;2,50 €;10;2,25 €;;0,08 €
12386;Lecteur graveur DVD RW slim USB 2.0;NON;29,80 €;25,30 €;;25,30 €;;0,08 €
12388V;Lecteur de cartes mémoires USB 3.0 SD et Micro SD sachet;3700616817012;9,90 €;4,90 €;10;4,41 €;;0,08 €
12391;Hub USB 3.0 auto alimenté 4 ports avec interupteurs;3700616815735;20,00 €;8,00 €;10;7,20 €;;0,08 €
12392;Hub USB 3.1 type C à  4 ports USB 3.0 auto alimenté  avec interupteurs;3700616815742;35,00 €;16,00 €;10;14,40 €;;0,08 €
12393;Hub USB 3.0 alimentation externe Super speed 5 Gbps 4 ports ;3700616816794;24,00 €;10,00 €;10;9,00 €;;0,08 €
12512;"Station d'accueil USB 3.0 pour 2 Disques Dur 2.5"" ou 3.5"" SATA ";3700616803640;36,00 €;24,00 €;10;21,60 €;;0,08 €
12514;"Adaptateur USB 2.0 pour Disque Dur 2.5"" ou 3.5"" IDE ou SATA livré avec alim.";3700616800052;16,00 €;8,50 €;10;7,65 €;;0,08 €
12531;"Boîtier vide USB 2.0 noir pour Disque Dur 2.5"" SATA livré avec pochette";3700616800069;6,00 €;4,40 €;10;3,96 €;;0,08 €
12535;"Boîtier vide USB 2.0 Alu noir pour Disque Dur 3.5"" SATA livré avec alim.";3700616800083;16,50 €;9,90 €;10;8,91 €;;0,08 €
12536;"Boîtier vide USB 3.0 Alu noir pour Disque Dur 3.5"" SATA livré avec alim.";3700616802353;41,64 €;22,00 €;;22,00 €;;0,08 €
12539;"Boîtier vide USB 3.0 noir pour Disque Dur 2.5"" SATA";3700616808447;30,00 €;12,00 €;10;10,80 €;;0,08 €
12609;Lampe LED flexible silicone sur port USB blister Waytex;3700616812949;6,60 €;3,90 €;10;3,51 €;;0,08 €
12610;Lampe flexible 3 leds sur port USB TEXET;5012236006201;5,78 €;3,90 €;10;3,51 €;;0,08 €
12612;Lampe de bureau à LED sur port USB;3700616800090;7,32 €;3,90 €;10;3,51 €;;0,08 €
12613;Ventilateur de bureau sur port USB;3700616800106;7,32 €;3,90 €;10;3,51 €;;0,08 €
12615;Aspirateur pour clavier PC ou portable sur port USB;3700616801738;4,14 €;3,00 €;10;2,70 €;;0,08 €
12691;" Support rehausseur ventilé pour notebook de 12"" à 17""";4711234109679;7,44 €;5,20 €;10;4,68 €;;0,08 €
12694;Refroidisseur pour notebook double ventilateurs;3700616802476;7,44 €;5,20 €;10;4,68 €;;0,08 €
12695;Refroidisseur pour notebook triple ventilateurs;3700616802728;8,28 €;6,00 €;10;5,40 €;;0,08 €
13103;Carte PCI 2 ports série Low Profile Sunix 5037AL;4710747388380;32,90 €;23,00 €;10;20,70 €;;
13105;Carte PCI Express 1x 2 ports série Sunix 5437A;4710747388106;71,90 €;48,00 €;10;43,20 €;;
13107;Carte PCI Express 1x 2 ports série Low Profile Sunix 5437AL;4710747388120;74,70 €;25,00 €;;25,00 €;;
13108;Carte PCI 2 ports série ;3700616808430;18,00 €;13,00 €;10;11,70 €;;0,02 €
13109;Carte PCI Express 1x 2 ports série format standard & Low Profile;3700616808416;47,00 €;20,00 €;10;18,00 €;;0,02 €
13110;Carte PCI 1 port // Sunix 5008A;4710747388601;22,00 €;16,00 €;10;14,40 €;;
13120;Carte PCI 4 ports USB 2.0 + 1 interne Sunix 4212V;3524899219703;11,00 €;8,00 €;10;7,20 €;;
13123;Carte PCI Express 1x 1 port RS 422 / 485;3700616808423;60,00 €;38,00 €;10;34,20 €;;0,02 €
19101;Adaptateur alimentation SATA coudé vers Molex;3700616801363;3,00 €;1,30 €;10;1,17 €;;0,02 €
19102;Câble alimentation en Y 1x Molex 4 pins vers 2 x SATA 0.16m;3700616801370;3,60 €;1,60 €;10;1,44 €;;0,02 €
19103;Adaptateur alimentation SATA  vers Molex;3700616817357;3,00 €;0,90 €;10;0,81 €;;0,02 €
19211;Cordon interne SATA 0.30m ;3700616801387;3,00 €;0,80 €;10;0,72 €;;0,02 €
19212;Cordon interne SATA 0.50 m;3700616801394;3,30 €;0,88 €;10;0,79 €;;0,02 €
19215;Cordon interne SATA coudé 90° 0.50m;3700616801400;3,50 €;1,00 €;10;0,90 €;;0,02 €
19218;Cordon interne SATA coudé 90° 0.50m + verrou;3700616801417;3,50 €;1,10 €;10;0,99 €;;0,02 €
19222;Cordon SATA 300 F/F noir 0.50m;3700616801424;4,00 €;1,60 €;10;1,44 €;;0,02 €
19231;Cordon eSATA M/M noir 0.50m;3700616801431;4,00 €;2,00 €;10;1,80 €;;0,02 €
19245;Cordon adaptateur SATA vers eSATA F/F 0.50m;3700616801448;4,00 €;2,00 €;10;1,80 €;;0,02 €
19310;Pâte thermique Silver - Seringue 1g net;3700616803107;3,26 €;1,90 €;10;1,71 €;;
19350;Ventilateur pour UC 80x80mm;3700616808072;5,00 €;2,50 €;10;2,25 €;;
20010;Adaptateur péritel 3 x RCA+SVHS F avec switch entrée sortie;3700616800137;4,01 €;1,20 €;10;1,08 €;;0,02 €
20021;Cordon antenne M/F 2.00m;3700616800144;1,92 €;1,10 €;10;0,99 €;;0,02 €
20025;Cordon antenne M/F 5.00m;3700616800151;3,00 €;1,60 €;10;1,44 €;;0,02 €
21115;Cordon audio 1 x RCA mâle vers 2 x RCA mâle 1.50m;3700616800168;2,01 €;0,80 €;10;0,72 €;;0,02 €
21130;Cordon audio 1 x RCA mâle vers 2 x RCA mâle 3.00m;3700616800175;2,50 €;1,00 €;10;0,90 €;;0,02 €
21150;Cordon audio 1 x RCA mâle vers 2 x RCA mâle 5.00m;3700616800182;3,50 €;1,20 €;10;1,08 €;;0,02 €
21551;Cordon audio Jack 3.5 stéréo M/M 1.50m haute qualité;3700616800199;1,50 €;0,70 €;10;0,63 €;;0,02 €
21552;Cordon audio Jack 3.5 stéréo M/M 1.50m;3700616817203;1,50 €;0,60 €;10;0,54 €;;0,02 €
21553;Cordon audio Jack 3.5 stéréo M/M 3.00m haute qualité;3700616800205;2,00 €;0,90 €;10;0,81 €;;0,02 €
21554;Cordon audio Jack 3.5 stéréo M/M 3.00m;3700616817210;2,00 €;0,80 €;10;0,72 €;;0,02 €
21563;Rallonge audio Jack 3.5 stéréo M/F 3.00m hate qualité;3700616800212;2,40 €;0,92 €;10;0,83 €;;0,02 €
21566;Cordon audio spiralé HQ Jack 3.5 M/M  1.30m;3700616817265;3,00 €;1,50 €;10;1,35 €;;0,02 €
21815;Rallonge audio stéréo 2 x RCA M/F 1.50m;3700616800229;1,90 €;0,98 €;10;0,88 €;;0,02 €
21850;Rallonge audio stéréo 2 x RCA M/F 5.00 m;3700616800236;3,26 €;1,50 €;10;1,35 €;;0,02 €
21870;Cordon audio 1 Jack stéréo 3.5 vers 2 x RCA mâle 1.50m ;3700616802315;1,90 €;0,90 €;10;0,81 €;;0,02 €
21872;Cordon audio 1 Jack stéréo 3.5 vers 2 x RCA mâle 5.00m ;3700616803466;3,50 €;1,30 €;10;1,17 €;;0,02 €
21900;Récepteur Bluetooth audio;3700616817272;29,00 €;14,50 €;10;13,05 €;;0,02 €
21901;Adaptateur audio stéréo Jack 3.5mm mâle vers 2 Jack 3.5mm femelles cordon 0.15m;3700616800243;1,50 €;0,70 €;10;0,63 €;;0,02 €
